keys,en,fr,es
%%ACT_CROUCH,Crouch,S'accroupir,
%%ACT_PRONE,Go prone,S'allonger,
%%ACT_SPRINT,Sprint,Sprinter,
%%ACT_PAUSE,Pause menu,Menu pause,
%%ACT_ACTION,Interact (doors / objects / seats),Interagir (portes / objets / sièges),
%%ACT_INTERACT,Use device,Utiliser un dispositif,
%%ACT_SPAWN_WHEEL,Spawn wheel (dev),Roue d'apparition (dev),
%%ACT_EMOTE_WHEEL,Emote wheel,Roue d'émotes,
%%ACT_TOGGLE_CHAT,Show / hide chat,Afficher / masquer le chat,
%%ACT_WRITE_IN_CHAT,Write in chat,Écrire dans le chat,
%%ACT_TOGGLE_EVA,EVA mode (dev),Mode EVA (dev),
%%ACT_STRAFE_UP,Ship: move up,Vaisseau : monter,
%%ACT_STRAFE_DOWN,Ship: move down,Vaisseau : descendre,
%%ACT_ROLL_LEFT,Ship: roll left,Vaisseau : rouler à gauche,
%%ACT_ROLL_RIGHT,Ship: roll right,Vaisseau : rouler à droite,
%%ACT_EXIT,Leave seat,Quitter le siège,
%%ACT_TOGGLE_FLASHLIGHT,Flashlight,Lampe torche,
%%ACT_VEHICLE_RESET,Flip vehicle upright,Redresser le véhicule,
%%ACT_VEHICLE_LIGHTS,Vehicle headlights,Phares du véhicule,
%%ACT_CARRY_ROTATE_CW,Turn held object right,Tourner l'objet porté à droite,
%%ACT_CARRY_ROTATE_CCW,Turn held object left,Tourner l'objet porté à gauche,
%%ACT_CARRY_FREE_ROTATE,Free-turn held object,Rotation libre de l'objet porté,
%%ACT_WALK_SPEED_UP,Walk faster,Marcher plus vite,
%%ACT_WALK_SPEED_DOWN,Walk slower,Marcher moins vite,
%%ACT_VEHICLE_HORN,Horn,Klaxon,
%%ACT_VEHICLE_HORN_SPECIAL,Special horn,Klaxon spécial,
%%ACT_VEHICLE_IGNITION,Start / stop engine,Démarrer / couper le moteur,
%%ACT_BRAKE,Handbrake,Frein à main,
%%ACT_ZAPETTE,Admin cleanup tool (dev),Outil de nettoyage admin (dev),
%%ACT_GAME_RECORD,Record the session,Enregistrer la session,
%%ACT_STAR_MAP,Star map,Carte stellaire,
%%ACT_STAR_MAP_ZOOM_IN,Star map: zoom in,Carte stellaire : zoom avant,
%%ACT_STAR_MAP_ZOOM_OUT,Star map: zoom out,Carte stellaire : zoom arrière,
%%ACT_DEBUG_TIME_FORWARD,Move time forward (dev),Avancer le temps (dev),
%%ACT_DEBUG_TIME_BACK,Move time back (dev),Reculer le temps (dev),
%%ACT_DEBUG_TOGGLE_MOON_LIGHTS,Toggle moonlight (dev),Basculer la lumière des lunes (dev),
%%ACT_DEBUG_ISOLATE_LIGHT,Isolate a light source (dev),Isoler une source de lumière (dev),
%%ACT_TOGGLE_DEBUG,Show / hide debug panels,Afficher / masquer les panneaux de débogage,
%%ACT_TOGGLE_TOOL,Equip / stow tool,Équiper / ranger l'outil,
%%ACT_AIM,Aim tool,Viser avec l'outil,
%%ACT_PERFORATE,Drill,Perforer,
%%KM_PRESS_KEY,Press a key...,Appuyez sur une touche...
%%KM_GROUP_GENERAL,General,Général,
%%KM_GROUP_ON_FOOT,On foot,À pied,
%%KM_GROUP_VEHICLE,In a vehicle,En véhicule,
%%KM_GROUP_FLIGHT,In flight,En vol,
%%KM_GROUP_DEBUG,Debug,Débogage,
%%KM_GROUP_OTHER,Other,Autres,
